.wavelength, spc
745.000000, 0.001716
743.000000, 0.000610
741.000000, 0.000428
739.000000, 0.002108
737.000000, 0.000774
735.000000, 0.000099
733.000000, 0.001556
731.000000, 0.001451
729.000000, 0.000077
727.000000, 0.000763
725.000000, 0.001846
723.000000, 0.000398
721.000000, 0.000903
719.000000, 0.001448
717.000000, 0.001093
715.000000, 0.000571
713.000000, 0.001550
711.000000, 0.002717
709.000000, 0.002090
707.000000, 0.001714
705.000000, 0.003010
703.000000, 0.004085
701.000000, 0.003773
699.000000, 0.004205
697.000000, 0.006037
695.000000, 0.007981
693.000000, 0.009387
691.000000, 0.010991
689.000000, 0.014005
687.000000, 0.018563
685.000000, 0.024083
683.000000, 0.029305
681.000000, 0.035947
679.000000, 0.044978
677.000000, 0.056327
675.000000, 0.069443
673.000000, 0.083967
671.000000, 0.101175
669.000000, 0.120177
667.000000, 0.141042
665.000000, 0.162082
663.000000, 0.182279
661.000000, 0.200619
659.000000, 0.216198
657.000000, 0.228662
655.000000, 0.237692
653.000000, 0.242378
651.000000, 0.242395
649.000000, 0.237211
647.000000, 0.228095
645.000000, 0.215834
643.000000, 0.200999
641.000000, 0.185622
639.000000, 0.170600
637.000000, 0.155447
635.000000, 0.141149
633.000000, 0.128552
631.000000, 0.116783
629.000000, 0.106279
627.000000, 0.097256
625.000000, 0.090258
623.000000, 0.084418
621.000000, 0.080133
619.000000, 0.076814
617.000000, 0.074673
615.000000, 0.073388
613.000000, 0.072544
611.000000, 0.072229
609.000000, 0.071789
607.000000, 0.071112
605.000000, 0.070351
603.000000, 0.069163
601.000000, 0.066963
599.000000, 0.064362
597.000000, 0.061561
595.000000, 0.058265
593.000000, 0.054839
591.000000, 0.051519
589.000000, 0.048092
587.000000, 0.045223
585.000000, 0.042286
583.000000, 0.040380
581.000000, 0.039258
579.000000, 0.039141
577.000000, 0.040405
575.000000, 0.042994
573.000000, 0.047336
571.000000, 0.054084
569.000000, 0.063069
567.000000, 0.074554
565.000000, 0.088932
563.000000, 0.105324
561.000000, 0.123328
559.000000, 0.141627
557.000000, 0.157660
555.000000, 0.171660
553.000000, 0.182067
551.000000, 0.188804
549.000000, 0.192062
547.000000, 0.192378
545.000000, 0.190248
543.000000, 0.185815
541.000000, 0.179762
539.000000, 0.171904
537.000000, 0.162375
535.000000, 0.152997
533.000000, 0.142975
531.000000, 0.133644
529.000000, 0.125614
527.000000, 0.119073
525.000000, 0.113839
523.000000, 0.109464
521.000000, 0.105780
519.000000, 0.102453
517.000000, 0.098376
515.000000, 0.093832
513.000000, 0.089103
511.000000, 0.083873
509.000000, 0.078590
507.000000, 0.073822
505.000000, 0.068434
503.000000, 0.063300
501.000000, 0.058525
499.000000, 0.053676
497.000000, 0.049223
495.000000, 0.044909
493.000000, 0.041161
491.000000, 0.037511
489.000000, 0.034454
487.000000, 0.031383
485.000000, 0.028701
483.000000, 0.026077
481.000000, 0.023695
479.000000, 0.021448
477.000000, 0.019384
475.000000, 0.017125
473.000000, 0.015562
471.000000, 0.013997
469.000000, 0.012676
467.000000, 0.011488
465.000000, 0.010343
463.000000, 0.009190
461.000000, 0.008213
459.000000, 0.007290
457.000000, 0.006702
455.000000, 0.006181
453.000000, 0.005462
451.000000, 0.004982
449.000000, 0.004490
447.000000, 0.004105
445.000000, 0.003690
443.000000, 0.003137
441.000000, 0.002740
439.000000, 0.002651
437.000000, 0.002662
435.000000, 0.002586
433.000000, 0.002530
431.000000, 0.002203
429.000000, 0.002075
427.000000, 0.002066
425.000000, 0.001937
423.000000, 0.001956
421.000000, 0.001850
419.000000, 0.001696
417.000000, 0.001909
415.000000, 0.001580
413.000000, 0.001695
411.000000, 0.001978
409.000000, 0.001520
407.000000, 0.001599
405.000000, 0.001884
403.000000, 0.001916
401.000000, 0.001888
399.000000, 0.002016
397.000000, 0.001727
395.000000, 0.002062
393.000000, 0.002421
391.000000, 0.002514
389.000000, 0.002762
387.000000, 0.003254
385.000000, 0.003548
383.000000, 0.003869
381.000000, 0.004201
379.000000, 0.004346
377.000000, 0.004334
375.000000, 0.004195
373.000000, 0.004861
371.000000, 0.004489
369.000000, 0.004881
367.000000, 0.005064
365.000000, 0.004942
363.000000, 0.005207
361.000000, 0.005252
359.000000, 0.005750
357.000000, 0.005227
355.000000, 0.005628
353.000000, 0.005700
351.000000, 0.005860
349.000000, 0.006382
347.000000, 0.006707
345.000000, 0.007234
343.000000, 0.008556
341.000000, 0.010450
339.000000, 0.012095
337.000000, 0.013875
335.000000, 0.016377
333.000000, 0.017710
331.000000, 0.018521
329.000000, 0.018975
327.000000, 0.019981
325.000000, 0.021376
323.000000, 0.021194
321.000000, 0.022653
319.000000, 0.024115
317.000000, 0.025151
315.000000, 0.026418
313.000000, 0.027889
311.000000, 0.029197
309.000000, 0.031509
307.000000, 0.034424
305.000000, 0.035094
303.000000, 0.042251
301.000000, 0.048043
299.000000, 0.056276
297.000000, 0.066794
295.000000, 0.080492
293.000000, 0.096720
291.000000, 0.115650
289.000000, 0.136334
287.000000, 0.158268
285.000000, 0.182326
283.000000, 0.206119
281.000000, 0.229072
279.000000, 0.250511
277.000000, 0.270732
275.000000, 0.291071
273.000000, 0.310342
271.000000, 0.328403
269.000000, 0.343885
267.000000, 0.358288
265.000000, 0.372392
263.000000, 0.384686
261.000000, 0.394849
259.000000, 0.401009
257.000000, 0.402818
255.000000, 0.402120
253.000000, 0.398866
251.000000, 0.393173
249.000000, 0.385852
247.000000, 0.377427
245.000000, 0.368886
243.000000, 0.360765
241.000000, 0.352316
239.000000, 0.343941
237.000000, 0.337251
235.000000, 0.330248
233.000000, 0.322771
231.000000, 0.312803
